건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
3102,경찰서,11225,3,127.1622716,37.609
3102,경찰서,11197,3,127.1716467,37.612
3102,경찰서,11199,3,127.1713238,37.611
3102,경찰서,11200,3,127.1714311,37.611
3102,경찰서,11201,3,127.1717366,37.611
3102,경찰서,11202,3,127.171877,37.611
3102,경찰서,11194,3,127.1719034,37.612
3102,경찰서,11198,3,127.1716051,37.612
3102,경찰서,11193,3,127.1720674,37.612
3102,경찰서,44490,3,127.2099441,37.587
3102,경찰서,44495,3,127.210069,37.587
3102,경찰서,44492,3,127.2100533,37.587
3102,경찰서,44496,3,127.2099393,37.587
3102,경찰서,9626,3,127.3069157,37.653
3102,경찰서,38226,3,127.2095212,37.634
3102,경찰서,47807,3,127.2485357,37.655
7101,종합병원,10847,3,127.2052079,37.634
7101,종합병원,17873,3,127.3043806,37.652
7101,종합병원,455,3,127.26186,37.653
7101,종합병원,454,3,127.261745,37.653
7101,종합병원,456,3,127.261929,37.653
7101,종합병원,420,3,127.179902,37.715
7101,종합병원,11921,3,127.3012714,37.655
7101,종합병원,8222,3,127.1796734,37.716
7101,종합병원,10531,3,127.140933,37.649
7101,종합병원,66167,3,127.2043725,37.682
7101,종합병원,66168,3,127.2045682,37.683
7101,종합병원,26951,3,127.1993189,37.705
6203,대형판매점,11462,3,127.2816403,37.657
6203,대형판매점,11427,3,127.309296,37.65
6203,대형판매점,11405,3,127.3119989,37.651
6203,대형판매점,11399,3,127.3144357,37.651
6203,대형판매점,11394,3,127.3148432,37.651
6203,대형판매점,11396,3,127.3141214,37.651
6203,대형판매점,11395,3,127.314678,37.651
6203,대형판매점,11393,3,127.3146301,37.652
6203,대형판매점,44180,3,127.2055431,37.747
6203,대형판매점,44186,3,127.2069124,37.746
6203,대형판매점,44184,3,127.2062963,37.747
6203,대형판매점,44185,3,127.2071773,37.746
6203,대형판매점,44187,3,127.2066174,37.747
6203,대형판매점,44188,3,127.2063929,37.747
6203,대형판매점,52372,3,127.2430528,37.655
6203,대형판매점,12124,3,127.3266439,37.704
6203,대형판매점,12123,3,127.3265396,37.704
6203,대형판매점,67291,3,127.125968,37.643
6203,대형판매점,33472,3,127.2148922,37.585
6203,대형판매점,33470,3,127.2140194,37.585
6203,대형판매점,33471,3,127.2144981,37.585
6203,대형판매점,8187,3,127.1808911,37.718
6203,대형판매점,8107,3,127.1898508,37.724
6203,대형판매점,6990,3,127.1781657,37.661
6203,대형판매점,7110,3,127.2025947,37.673
6203,대형판매점,7220,3,127.2143514,37.691
6203,대형판매점,60195,3,127.3384566,37.596
6203,대형판매점,652,3,127.3050764,37.651
6203,대형판매점,62877,3,127.1917745,37.726
6203,대형판매점,623,3,127.3039875,37.65
6203,대형판매점,104,3,127.1184162,37.709
4023,복합유통.제공업소,20699,3,127.3090691,37.651
4023,복합유통.제공업소,40267,3,127.1152249,37.707
4023,복합유통.제공업소,21370,3,127.3046958,37.634
6204,대형점,10215,3,127.1892115,37.721
6204,대형점,10214,3,127.1886066,37.722
6204,대형점,2699,3,127.182031,37.709
6204,대형점,130,3,127.1117823,37.709
