건물용도코드,건물종류,가점척도
17201,가축용운동시설,0
17204,가축용창고,0
16004,검사장,0
5401,경마장,1
3102,경찰서,3
8103,고등학교,0
18004,고물상,0
4505,고시원,0
4107,골프연습장,0
9011,골프연습장,0
3109,공공도서관,0
3100,공공시설,0
1004,공관,1
3012,공중화장실,0
13200,공해공장,0
5303,공회당,0
21006,관광지시설,1
17203,관리사,0
8001,교육(연수)원,1
4201,교회,0
5101,교회,0
10101,국가기관청사,0
4301,극장(영화관),1
8500,근로복지시설,1
4401,금융업소,1
10201,금융업소,1
5504,기념관,1
5104,기도원,0
2007,기숙사,0
4003,기원,0
17299,기타가축시설,0
3199,기타공공시설,1
10199,기타공공업무시설,1
4399,기타공연장,1
11299,기타관광숙박시설,1
21999,기타관광휴게시설,0
8999,기타교육연구및복지시설,1
5699,기타동.식물원,1
17999,기타동식물관련시설,0
20999,기타묘지관련시설,0
5999,기타문화및집회시설,1
27999,기타발전시설,1
7199,기타병원,1
18999,기타분뇨쓰레기처리시설,0
4499,기타사무소,1
8699,기타생활권수련시설,0
6299,기타소매시장,1
8299,기타아동관련시설,1
4199,기타운동시설,0
9999,기타운동시설,1
12999,기타위락시설,1
7999,기타의료시설,1
11199,기타일반숙박시설,1
10299,기타일반업무시설,1
16999,기타자동차관련시설,1
8799,기타자연권수련시설,0
5599,기타전시장,1
3999,기타제1종근생,1
4999,기타제2종근생,1
4299,기타종교집회장,0
5199,기타종교집회장,0
5399,기타집회장,0
14999,기타창고시설,1
6999,기타판매및영업시설,1
8199,기타학교,1
20002,납골당,1
8300,노인복지시설,1
1003,다가구주택,0
2003,다세대주택,0
1002,다중주택,0
1001,단독주택,0
4105,당구장,0
6205,대규모소매점,1
8106,대학,1
8104,대학교,2
6204,대형점,3
6203,대형판매점,3
17004,도계장,0
6100,도매시장,1
8005,도서관,0
17003,도축장,0
4014,독서실,0
4012,동물병원,1
3101,동사무소,0
3023,마을공동구판장,0
3007,마을공동시설,1
3022,마을공동작업소,0
3021,마을공회당,0
16005,매매장,0
5502,미술관,1
5506,박람회장,1
5501,박물관,1
17005,버섯재배사,0
7107,병원,2
3108,보건소,0
2006,복리시설,1
4023,복합유통.제공업소,3
6310,복합유통.제공업소,2
2005,부대시설,1
4403,부동산중개업소,1
17105,부화장,0
18001,분뇨처리시설,0
5108,사당,0
4402,사무소,1
10204,사무소,1
4008,사진관,1
4203,사찰,0
5103,사찰,0
8400,사회복지시설,1
7102,산부인과병원,1
5505,산업전시장,1
6301,상점,1
2004,생활편익시설,1
4004,서점,0
15009,석유판매소,0
4202,성당,0
5102,성당,0
16002,세차장,0
3013,세탁소,0
3001,소매점,1
3104,소방서,1
5106,수녀원,0
5105,수도원,0
4006,수리점,1
5602,식물원,1
10203,신문사,1
4106,실내낚시터,0
9010,실내낚시터,0
8204,아동복지시설,1
2001,아파트,2
15005,액화가스취급소,0
15006,액화가스판매소,0
15002,액화석유가스충전소,0
17104,양어시설,0
8203,어린이집,1
6303,여객자동차터미널,1
11102,여관,1
8004,연구소,1
2002,연립주택,0
4303,연예장,1
8202,영유아보육시설,1
5301,예식장,2
10202,오피스텔,1
17007,온실,0
7108,요양소,0
3105,우체국,0
9002,운동장시설,1
16007,운전학원,0
8201,유치원,1
4302,음악당,1
4017,의약품도매점,1
3005,의원,1
3003,이(미)용원,1
13100,일반공장,1
3004,일반목욕장,1
4001,일반음식점,1
4018,자동차영업소,1
10102,자치단체청사,0
7201,장례식장,1
3106,전신전화국,1
19006,전신전화국,1
16006,정비공장,0
16008,정비학원,0
7105,정신병원,1
5107,제실,0
4005,제조업소,1
17006,종묘배양시설,0
7101,종합병원,3
15001,주유소,2
16001,주차장,2
8102,중학교,0
16009,차고,0
14001,창고,1
6305,철도역사,1
8601,청소년수련원(관),0
8701,청소년수련원(관),0
4102,체력단련장,0
9006,체력단련장,0
5403,체육관,1
9001,체육관,1
3020,체육도장,0
9004,체육도장,0
8101,초등학교,0
19007,촬영소,1
17101,축사,0
3014,치과의원,1
3016,침술원,0
3019,탁구장,0
4101,테니스장,1
12003,특수목욕장,1
3103,파출소,1
18003,폐기물재활용시설,0
18002,폐기물처리시설,0
16003,폐차장,0
4009,표구점,1
14002,하역장,1
4010,학원,1
8003,학원,1
7104,한방병원,1
3015,한의원,1
11101,호텔,1
21005,휴게소,1
3002,휴게음식점,1
4002,휴게음식점,1
11205,휴양콘도미니엄,1
