,학교명,주소,lng,lat
0,서울시립대학교,서울 동대문구 서울시립대로 163 (전농동 90번지) ,127.0599881,37.58257758
1,서울여자간호대학교,서울 서대문구 홍제3동 서울여자간호대학,126.9564659,37.59702058
2,서울여자대학교,서울특별시 노원구 화랑로 621 서울여자대학교,127.0889915,37.62878266
3,서일대학교,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,127.097053,37.5859712
4,성공회대학교,서울 구로구 항동 성공회대학교,126.825014,37.4883096
5,성균관대학교,서울 종로구 명륜동3가 성균관대학교,126.9978427,37.5904163
6,성신여자대학교,서울 성북구 동선동3가 성신여자대학교,127.0198884,37.59465913
7,세종대학교,서울 광진구 군자동 세종대학교,127.074509,37.5499477
8,숙명여자대학교,서울 용산구 청파로47길 100 숙명여자대학교,126.9650744,37.54547408
9,숭실대학교,서울 동작구 상도동 511 숭실대학교,126.9565882,37.49640193
10,숭의여자대학교,서울특별시 중구 소파로2길 10(예장동),126.9874816,37.55785307
11,연세대학교,서울 서대문구 신촌동 연세대학교,126.937546,37.5637563
12,이화여자대학교,서울 서대문구 대현동 11-1 이화여자대학교,126.9474534,37.56256102
13,인덕대학교,서울 노원구 초안산로 12,127.0544999,37.63034387
14,장로회신학대학교,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,127.1045738,37.54869023
15,적십자간호대학,서울 종로구 경교장길8,126.9663051,37.56741607
16,중앙대학교 서울캠퍼스,서울 동작구 흑석로 84,126.9538339,37.50472672
17,총신대학교,서울 동작구 사당동 산31-3,126.9671821,37.49087911
18,추계예술대학교,서울 서대문구 북아현동 190-1 추계예술대학교,126.9533225,37.56271638
19,한국방송통신대학교,서울 종로구 동숭동 한국방송통신대학교,127.002639,37.5784507
20,한국성서대학교,서울 노원구 상계7동 한국성서대학교,127.089093,37.68055725
21,한국예술종합학교,서울 성북구 석관동 ,127.0614008,37.61298602
22,한국외국어대학교,서울 동대문구 이문로 107,127.0579424,37.59829668
23,한국체육대학교,서울 송파구 오륜동 한국체육대학교,127.132726,37.5204708
24,한국폴리텍 I 대학 서울강서캠퍼스,서울 강서구 화곡동 산60-1,126.8435532,37.55040237
25,한국폴리텍Ⅰ대학 서울정수캠퍼스,서울 용산구 보광로 73(보광동 238),126.996817,37.52997497
26,한성대학교,서울 성북구 삼선동3가 389 한성대학교,127.009851,37.5817841
27,한양대학교,서울특별시 성동구 왕십리로 222 ,127.0466112,37.55450355
28,한양여자대학교,서울 성동구 행당동 살곶이길 200,127.048995,37.5571237
29,한영신학대학교,서울 구로구 경인로 290-42  한영신학대학교,126.8512505,37.49656611
30,홍익대학교,서울특별시 마포구 와우산로 94(상수동),126.9249906,37.55251925
31,가톨릭대학교,서울 서초구 반포동 505,127.0052468,37.50007959
32,가톨릭대학교,서울 종로구 창경궁로 296-12(혜화동) ,127.0047707,37.58490098
33,감리교신학대학교,서울 서대문구 냉천동 감리교신학대학,126.9618,37.5672538
34,건국대학교,서울 광진구 화양동,127.0713676,37.54647626
35,경기대학교,서울 서대문구 경기대로9길 24 경기대학교,126.9622242,37.56519469
36,경희대학교,서울 동대문구 회기동 경희대학교,127.054533,37.5938637
37,고려대학교,서울 성북구 안암동 고려대학교,127.032858,37.5869518
38,광운대학교,서울특별시 노원구 월계동 447-1,127.0596707,37.61970332
39,국민대학교,서울 성북구 정릉3동 국민대학교,126.997679,37.6108952
40,국제예술대학,서울 강남구 논현동 79,127.031004,37.51690578
41,그리스도대학교,서울 강서구 화곡6동 그리스도대학교,126.854294,37.5486264
42,덕성여자대학교,서울특별시 도봉구 삼양로 144길 33,127.0163952,37.64950908
43,동국대학교,서울 중구 필동3가 동국대학교,127.003216,37.5578811
44,동덕여자대학교,서울 성북구 하월곡2동 동덕여자대학교,127.041349,37.6064286
45,동양미래대학교,서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160),126.8681697,37.49999579
46,디지털서울문화예술대학교,서울시 서대문구 통일로 37길 60 (홍제동 318-18),126.9438792,37.58544374
47,명지대학교 인문캠퍼스,서울 서대문구 남가좌동 50-3,126.9231207,37.58022754
48,명지전문대학,서울 서대문구 가좌로 134 명지전문대학 ,126.9256899,37.5853653
49,배화여자대학교,서울 종로구 필운대로 1길 34 배화여자대학교,126.9672919,37.57954401
50,백석예술대학교,서울 서초구 방배로9길 23 백석예술대학교,126.996897,37.48037139
51,사이버한국외국어대학교,서울 동대문구 이문동 한국외국어대학교,127.058748,37.5974476
52,삼육대학교,서울시 노원구 화랑로 815(공릉2동 26-21),127.1088503,37.64335737
53,삼육보건대학교,서울 동대문구 휘경2동,127.0686148,37.5901077
54,상명대학교,서울 종로구 홍지동 상명대학교,126.955722,37.6030839
55,서강대학교,서울 마포구 신수동 서강대학교,126.939129,37.5519272
56,서경대학교,서울 성북구 정릉4동 서경대학교,127.013117,37.6154086
57,서울과학기술대학교,서울 노원구 공릉로 232 (공릉동 172),127.0767947,37.63307893
58,서울과학기술대학교,서울시 노원구 공릉로 232 서울과학기술대학교,127.0767947,37.63307893
59,서울교육대학교,서울 서초구 서초중앙로 96(서초동 1650),127.0154245,37.49074049
60,서울기독대학교,서울 은평구 갈현로 4길 26-2호,126.9130636,37.6011252
61,서울대학교,서울 관악구 관악로 1 서울대학교,126.9592943,37.46803806
62,서울디지털대학교,서울 마포구 도화동 560번지,126.9478555,37.54296845
63,서울사이버대학교,서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교,127.0271231,37.62984392
